sample_uid,class_uid,slug,label_original,language,dialect,source_type,user_id,session_id,fps_original,fps_processed,seq_len,augment_id,completeness,file_path,storage_key,storage_url,checksum,created_at
a382db2948,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,0,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_000/sample_a382db2948.npz,features/vn/common/class_cam-on_cb7be8bf/aug_000/sample_a382db2948.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_000/sample_a382db2948.npz,,2026-05-04T08:59:38.967135Z
c874fa8d7b,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,1,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_001/sample_c874fa8d7b.npz,features/vn/common/class_cam-on_cb7be8bf/aug_001/sample_c874fa8d7b.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_001/sample_c874fa8d7b.npz,,2026-05-04T08:59:39.088432Z
55bf7c0e06,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,2,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_002/sample_55bf7c0e06.npz,features/vn/common/class_cam-on_cb7be8bf/aug_002/sample_55bf7c0e06.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_002/sample_55bf7c0e06.npz,,2026-05-04T08:59:39.175083Z
338c451aa4,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,3,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_003/sample_338c451aa4.npz,features/vn/common/class_cam-on_cb7be8bf/aug_003/sample_338c451aa4.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_003/sample_338c451aa4.npz,,2026-05-04T08:59:39.258967Z
bacaffbeae,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,4,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_004/sample_bacaffbeae.npz,features/vn/common/class_cam-on_cb7be8bf/aug_004/sample_bacaffbeae.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_004/sample_bacaffbeae.npz,,2026-05-04T08:59:39.339012Z
bc0e836ae6,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,5,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_005/sample_bc0e836ae6.npz,features/vn/common/class_cam-on_cb7be8bf/aug_005/sample_bc0e836ae6.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_005/sample_bc0e836ae6.npz,,2026-05-04T08:59:39.418959Z
fd3c5aa3ed,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,6,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_006/sample_fd3c5aa3ed.npz,features/vn/common/class_cam-on_cb7be8bf/aug_006/sample_fd3c5aa3ed.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_006/sample_fd3c5aa3ed.npz,,2026-05-04T08:59:39.514582Z
6a273b10d9,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,7,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_007/sample_6a273b10d9.npz,features/vn/common/class_cam-on_cb7be8bf/aug_007/sample_6a273b10d9.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_007/sample_6a273b10d9.npz,,2026-05-04T08:59:39.611101Z
52005a73b4,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,0,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_000/sample_52005a73b4.npz,features/vn/common/class_cam-on_cb7be8bf/aug_000/sample_52005a73b4.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_000/sample_52005a73b4.npz,,2026-05-04T08:59:49.143284Z
4a4c346601,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,1,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_001/sample_4a4c346601.npz,features/vn/common/class_cam-on_cb7be8bf/aug_001/sample_4a4c346601.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_001/sample_4a4c346601.npz,,2026-05-04T08:59:49.231256Z
d5763df9a7,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,2,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_002/sample_d5763df9a7.npz,features/vn/common/class_cam-on_cb7be8bf/aug_002/sample_d5763df9a7.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_002/sample_d5763df9a7.npz,,2026-05-04T08:59:49.320244Z
557ab6a59f,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,3,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_003/sample_557ab6a59f.npz,features/vn/common/class_cam-on_cb7be8bf/aug_003/sample_557ab6a59f.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_003/sample_557ab6a59f.npz,,2026-05-04T08:59:49.401485Z
be8b73ae19,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,4,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_004/sample_be8b73ae19.npz,features/vn/common/class_cam-on_cb7be8bf/aug_004/sample_be8b73ae19.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_004/sample_be8b73ae19.npz,,2026-05-04T08:59:49.484427Z
be84d2720c,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,5,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_005/sample_be84d2720c.npz,features/vn/common/class_cam-on_cb7be8bf/aug_005/sample_be84d2720c.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_005/sample_be84d2720c.npz,,2026-05-04T08:59:49.567760Z
b63c776ee1,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,6,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_006/sample_b63c776ee1.npz,features/vn/common/class_cam-on_cb7be8bf/aug_006/sample_b63c776ee1.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_006/sample_b63c776ee1.npz,,2026-05-04T08:59:49.653536Z
99e2e443f3,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,7,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_007/sample_99e2e443f3.npz,features/vn/common/class_cam-on_cb7be8bf/aug_007/sample_99e2e443f3.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_007/sample_99e2e443f3.npz,,2026-05-04T08:59:49.748674Z
5a6a8212b7,cb7be8bf-a01b-404c-acc0-571c41950eab,cam-on,Cảm ơn,vn,common,camera,Minh,1777885146491,,,60,0,None,/dataset/features/vn/common/class_cam-on_cb7be8bf/aug_000/sample_5a6a8212b7.npz,features/vn/common/class_cam-on_cb7be8bf/aug_000/sample_5a6a8212b7.npz,s3://sign-dataset/features/vn/common/class_cam-on_cb7be8bf/aug_000/sample_5a6a8212b7.npz,,2026-05-04T08:59:58.991630Z
