nhan_goc,goi_y_chuan_hoa,so_mau,mau_da_co_nguoi_ky,signer_id_dang_mang,so_capture_session,so_lop,ngay_dau,ngay_cuoi,tai_khoan_thu,signer_id_de_xuat,trang_thai,ghi_chu
Minh,minh,1539,278,S001 | S010 | S011 | S103 | S104,53,46,2026-05-04,2026-08-22,Minh | Minh123 | Minh1234 | Minh6868,"",UNRESOLVED,""
Trân,trân,620,200,S010 | S011,41,32,2026-05-04,2026-07-27,Minh,"",UNRESOLVED,""
Khoa,khoa,579,452,S002 | S010 | S011,74,40,2026-05-15,2026-07-29,Khoa | Minh,"",UNRESOLVED,""
Huy,huy,430,430,S001,27,27,2026-07-29,2026-07-30,Minh6868,"",UNRESOLVED,""
Ảnh,ảnh,405,105,S010,37,37,2026-07-27,2026-07-29,Minh,"",UNRESOLVED,""
Thư,thư,104,104,S010,7,7,2026-07-27,2026-07-27,Minh,"",UNRESOLVED,""
Nhung,nhung,99,99,S010,13,7,2026-07-21,2026-07-23,Minh,"",UNRESOLVED,""
Trâm,trâm,45,0,"",9,8,2026-07-30,2026-07-30,"","",UNRESOLVED,""
Thu Ngân,thu ngân,11,0,"",3,1,2026-07-30,2026-07-30,"","",UNRESOLVED,""
Khang,khang,10,10,S002,1,1,2026-07-29,2026-07-29,Khoa,"",UNRESOLVED,""
Thungan,thungan,5,0,"",0,1,2026-06-07,2026-06-07,Minh,"",UNRESOLVED,""
Hoàng Anh,hoàng anh,5,0,"",1,1,2026-05-14,2026-05-14,Minh,"",UNRESOLVED,""
Ngan,ngan,5,0,"",0,1,2026-06-07,2026-06-07,Minh,"",UNRESOLVED,""
Tram,tram,5,0,"",0,1,2026-06-07,2026-06-07,Minh,"",UNRESOLVED,""
eeeaeb8b-a832-4d1d-bac7-ebdd819fc644,eeeaeb8b-a832-4d1d-bac7-ebdd819fc644,2,0,"",0,2,2026-05-14,2026-05-15,Minh,"",UNRESOLVED,""
