table_name,constraint_name,columns,scope,rule
audit_log,audit_log_action_not_blank,action,mot cot,CHECK ((action <> ''::text))
capture_sessions,capture_sessions_ends_after_start,started_at+ended_at,BAT BIEN NHIEU COT,CHECK (((ended_at IS NULL) OR (started_at IS NULL) OR (ended_at >= started_at)))
capture_sessions,capture_sessions_session_id_not_blank,session_id,mot cot,CHECK ((session_id <> ''::text))
collection_sessions,collection_sessions_code_not_blank,session_code,mot cot,CHECK ((session_code <> ''::text))
collection_sessions,collection_sessions_ends_after_start,started_at+ended_at,BAT BIEN NHIEU COT,CHECK (((ended_at IS NULL) OR (started_at IS NULL) OR (ended_at >= started_at)))
event_outbox,ck_event_outbox_attempts,attempts,mot cot,CHECK ((attempts >= 0))
event_outbox,ck_event_outbox_status,dispatch_status,mot cot,"CHECK ((dispatch_status = ANY (ARRAY['PENDING'::text, 'IN_FLIGHT'::text, 'DONE'::text, 'FAILED'::text])))"
event_outbox,ck_event_outbox_type_not_blank,event_type_code,mot cot,CHECK ((event_type_code <> ''::text))
legal_document_drafts,ck_legal_drafts_kind,kind,mot cot,"CHECK ((kind = ANY (ARRAY['terms'::text, 'privacy'::text, 'data_contribution'::text, 'guardian'::text])))"
legal_document_drafts,ck_legal_drafts_revision,revision,mot cot,CHECK ((revision >= 1))
legal_document_drafts,ck_legal_drafts_status,status,mot cot,"CHECK ((status = ANY (ARRAY['draft'::text, 'in_review'::text, 'approved'::text, 'published'::text, 'discarded'::text])))"
legal_document_events,ck_legal_events_action_not_blank,action,mot cot,CHECK ((action <> ''::text))
legal_documents,ck_legal_documents_body_format,body_format,mot cot,"CHECK ((body_format = ANY (ARRAY['markdown'::text, 'text'::text, 'file'::text])))"
legal_documents,ck_legal_documents_file_pair,body_format+file_key,BAT BIEN NHIEU COT,CHECK (((body_format = 'file'::text) = (file_key IS NOT NULL)))
legal_documents,legal_documents_kind_valid,kind,mot cot,"CHECK ((kind = ANY (ARRAY['terms'::text, 'privacy'::text, 'data_contribution'::text, 'guardian'::text])))"
memberships,ck_memberships_left_consistent,status+left_at,BAT BIEN NHIEU COT,CHECK (((status = 'REMOVED'::text) = (left_at IS NOT NULL)))
memberships,ck_memberships_legacy_role_tenant_only,scope_level+legacy_role,BAT BIEN NHIEU COT,CHECK (((scope_level = 'TENANT'::text) OR (legacy_role IS NULL)))
memberships,ck_memberships_legacy_role_valid,legacy_role,mot cot,"CHECK (((legacy_role IS NULL) OR (legacy_role = ANY (ARRAY['admin'::text, 'editor'::text]))))"
memberships,ck_memberships_scope_level,scope_level,mot cot,"CHECK ((scope_level = ANY (ARRAY['TENANT'::text, 'WORKSPACE'::text, 'PROJECT'::text])))"
