table_name,ordinal,column_name,data_type,nullable,column_default,is_pk,is_fk,identity,generated,description
api_keys,1,key_id,uuid,NO,"",PK,"","","",""
api_keys,2,tenant_id,text,NO,"","",FK,"","",""
api_keys,3,name,text,NO,''::text,"","","","",""
api_keys,4,prefix,text,NO,"","","","","",""
api_keys,5,key_hash,text,NO,"","","","","",""
api_keys,6,scopes,text,NO,'read'::text,"","","","",""
api_keys,7,created_by,uuid,YES,"","",FK,"","",""
api_keys,8,created_at,timestamp with time zone,NO,now(),"","","","",""
api_keys,9,last_used_at,timestamp with time zone,YES,"","","","","",""
api_keys,10,expires_at,timestamp with time zone,YES,"","","","","",""
api_keys,11,revoked_at,timestamp with time zone,YES,"","","","","",""
api_keys,12,revoked_by,uuid,YES,"","",FK,"","",""
audit_log,1,audit_id,bigint,NO,nextval('audit_log_audit_id_seq'::regclass),PK,"","","",""
audit_log,2,tenant_id,text,YES,"","",FK,"","",""
audit_log,3,actor_user_id,uuid,YES,"","",FK,"","",""
audit_log,4,actor_label,text,YES,"","","","","",""
audit_log,5,action,text,NO,"","","","","",""
audit_log,6,target_type,text,YES,"","","","","",""
audit_log,7,target_id,text,YES,"","","","","",""
audit_log,8,detail,jsonb,YES,"","","","","",""
audit_log,9,ip_hash,text,YES,"","","","","",""
audit_log,10,created_at,timestamp with time zone,NO,now(),"","","","",""
capture_sessions,1,capture_session_id,uuid,NO,"",PK,"","","",""
capture_sessions,2,tenant_id,text,NO,"","",FK,"","",""
capture_sessions,3,class_uid,text,NO,"","",FK,"","",""
capture_sessions,4,session_id,text,NO,"","","","","",""
capture_sessions,5,signer_id,text,YES,"","",FK,"","",""
capture_sessions,6,auth_user_id,uuid,YES,"","",FK,"","",""
capture_sessions,7,source_type,text,YES,"","","","","",""
capture_sessions,8,started_at,timestamp with time zone,YES,"","","","","",""
capture_sessions,9,ended_at,timestamp with time zone,YES,"","","","","",""
capture_sessions,10,note,text,YES,"","","","","",""
capture_sessions,11,created_at,timestamp with time zone,NO,now(),"","","","",""
capture_sessions,12,collection_session_id,uuid,YES,"","",FK,"","",""
classes,1,class_uid,text,NO,"",PK,"","","",""
classes,2,class_idx,integer,YES,"","","","","",""
classes,3,slug,text,YES,"","","","","",""
classes,4,label_original,text,YES,"","","","","",""
classes,5,language,text,YES,"","",FK,"","",""
classes,6,dialect,text,YES,"","",FK,"","",""
classes,7,is_common_global,boolean,YES,"","","","","",""
classes,8,is_common_language,boolean,YES,"","","","","",""
classes,9,folder_name,text,YES,"","","","","",""
classes,10,created_at,timestamp with time zone,YES,"","","","","",""
classes,11,migrated_at,timestamp with time zone,YES,"","","","","",""
classes,12,deleted_at,timestamp with time zone,YES,"","","","","",""
classes,13,description,text,YES,''::text,"","","","",""
classes,14,is_active,boolean,YES,true,"","","","",""
classes,15,hands_required,integer,YES,"","","","","",""
classes,16,semantic_label,text,YES,"","","","","",""
classes,17,vocabulary_scope,text,YES,"","","","","",""
classes,18,recognition_profile,text,YES,"","",FK,"","",""
classes,19,vocabulary_group,text,YES,"","",FK,"","",""
classes,20,collection_campaign,text,YES,"","","","","",""
classes,21,motion_type,text,YES,"","","","","",""
classes,22,tenant_id,text,NO,'default'::text,"",FK,"","",""
classes,23,region,text,NO,'unclassified'::text,"",FK,"","",""
collection_sessions,1,collection_session_id,uuid,NO,"",PK,"","","",""
collection_sessions,2,tenant_id,text,NO,"","",FK,"","",""
collection_sessions,3,session_code,text,NO,"","","","","",""
collection_sessions,5,opened_by_user_id,uuid,YES,"","",FK,"","",""
collection_sessions,6,source_type,text,YES,"","","","","",""
collection_sessions,7,started_at,timestamp with time zone,YES,"","","","","",""
collection_sessions,8,ended_at,timestamp with time zone,YES,"","","","","",""
collection_sessions,9,note,text,YES,"","","","","",""
collection_sessions,10,created_at,timestamp with time zone,NO,now(),"","","","",""
community_dialects,1,dialect_id,text,NO,"",PK,"","","",""
community_dialects,2,display_name,text,NO,"","","","","",""
community_dialects,3,language,text,NO,'vn'::text,"","","","",""
