child_table,child_cols,parent_table,parent_cols,parent_card,child_card,n_cols,on_delete,conname
api_keys,created_by,users,id,0..1,0..N,1,SET NULL,api_keys_created_by_fkey
api_keys,revoked_by,users,id,0..1,0..N,1,SET NULL,api_keys_revoked_by_fkey
api_keys,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_api_keys_tenant
audit_log,actor_user_id,users,id,0..1,0..N,1,SET NULL,audit_log_actor_user_id_fkey
audit_log,tenant_id,tenants,tenant_id,0..1,0..N,1,RESTRICT,fk_audit_log_tenant
capture_sessions,auth_user_id,users,id,0..1,0..N,1,SET NULL,capture_sessions_auth_user_id_fkey
capture_sessions,tenant_id+class_uid,classes,tenant_id+class_uid,1,0..N,2,NO ACTION,fk_capture_sessions_class
capture_sessions,tenant_id+collection_session_id,collection_sessions,tenant_id+collection_session_id,0..1,0..N,2,SET NULL,fk_capture_sessions_collection
capture_sessions,tenant_id+signer_id,signers,tenant_id+signer_id,0..1,0..N,2,NO ACTION,fk_capture_sessions_signer
capture_sessions,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_capture_sessions_tenant
classes,tenant_id+dialect,dialects,tenant_id+dialect_id,0..1,0..N,2,NO ACTION,classes_dialect_fkey
classes,region,regions,code,1,0..N,1,NO ACTION,classes_region_fkey
classes,language,languages,code,0..1,0..N,1,NO ACTION,fk_classes_language
classes,tenant_id+recognition_profile,recognition_profiles,tenant_id+profile_id,0..1,0..N,2,NO ACTION,fk_classes_recognition_profile
classes,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_classes_tenant
classes,tenant_id+vocabulary_group,vocabulary_groups,tenant_id+group_id,0..1,0..N,2,NO ACTION,fk_classes_vocabulary_group
collection_sessions,opened_by_user_id,users,id,0..1,0..N,1,SET NULL,collection_sessions_opened_by_user_id_fkey
collection_sessions,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_collection_sessions_tenant
community_dialects,updated_by,users,id,0..1,0..N,1,SET NULL,community_dialects_updated_by_fkey
community_profiles,updated_by,users,id,0..1,0..N,1,SET NULL,community_profiles_updated_by_fkey
community_versions,created_by,users,id,0..1,0..N,1,SET NULL,community_versions_created_by_fkey
dialect_aliases,merged_by,users,id,0..1,0..N,1,SET NULL,dialect_aliases_merged_by_fkey
dialect_aliases,tenant_id+new_dialect_id,dialects,tenant_id+dialect_id,1,0..N,2,NO ACTION,fk_dialect_aliases_new
dialect_aliases,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_dialect_aliases_tenant
dialects,approved_by,users,id,0..1,0..N,1,SET NULL,dialects_approved_by_fkey
dialects,created_by,users,id,0..1,0..N,1,SET NULL,dialects_created_by_fkey
dialects,language,languages,code,1,0..N,1,NO ACTION,fk_dialects_language
dialects,tenant_id+merged_into,dialects,tenant_id+dialect_id,0..1,0..N,2,NO ACTION,fk_dialects_merged_into
dialects,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_dialects_tenant
event_outbox,tenant_id,tenants,tenant_id,0..1,0..N,1,RESTRICT,fk_event_outbox_tenant
legal_document_drafts,created_by,users,id,0..1,0..N,1,SET NULL,legal_document_drafts_created_by_fkey
legal_document_drafts,updated_by,users,id,0..1,0..N,1,SET NULL,legal_document_drafts_updated_by_fkey
legal_documents,published_by,users,id,0..1,0..N,1,SET NULL,legal_documents_published_by_fkey
memberships,parent_membership_id+user_id,memberships,membership_id+user_id,0..1,0..N,2,CASCADE,fk_memberships_parent
memberships,tenant_id+workspace_id+project_id,projects,tenant_id+workspace_id+project_id,0..1,0..N,3,CASCADE,fk_memberships_project
memberships,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_memberships_tenant
memberships,tenant_id+workspace_id,workspaces,tenant_id+workspace_id,0..1,0..N,2,CASCADE,fk_memberships_workspace
memberships,tenant_id,tenants,tenant_id,1,0..N,1,CASCADE,memberships_tenant_id_fkey
memberships,user_id,users,id,1,0..N,1,CASCADE,memberships_user_id_fkey
notifications,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_notifications_tenant
notifications,user_id,users,id,1,0..N,1,CASCADE,notifications_user_id_fkey
password_reset_tokens,user_id,users,id,1,0..N,1,CASCADE,password_reset_tokens_user_id_fkey
platform_settings,updated_by,users,id,0..1,0..N,1,SET NULL,platform_settings_updated_by_fkey
project_allocations,tenant_id+project_id,projects,tenant_id+project_id,1,0..N,2,CASCADE,fk_project_allocations_project
project_allocations,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_project_allocations_tenant
project_allocations,tenant_id,tenants,tenant_id,1,0..N,1,CASCADE,project_allocations_tenant_id_fkey
project_allocations,updated_by,users,id,0..1,0..N,1,SET NULL,project_allocations_updated_by_fkey
projects,tenant_id+workspace_id,workspaces,tenant_id+workspace_id,1,0..N,2,RESTRICT,fk_inv_ten_02_project_workspace
projects,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_projects_tenant
raw_uploads,tenant_id+class_uid,classes,tenant_id+class_uid,0..1,0..N,2,NO ACTION,fk_raw_uploads_class_tenant
raw_uploads,tenant_id+dialect,dialects,tenant_id+dialect_id,0..1,0..N,2,NO ACTION,fk_raw_uploads_dialect
raw_uploads,language,languages,code,0..1,0..N,1,NO ACTION,fk_raw_uploads_language
raw_uploads,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_raw_uploads_tenant
raw_uploads,auth_user_id,users,id,0..1,0..N,1,SET NULL,raw_uploads_auth_user_id_fkey
recognition_profiles,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_recognition_profiles_tenant
refresh_tokens,user_id,users,id,1,0..N,1,CASCADE,refresh_tokens_user_id_fkey
registry_versions,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_registry_versions_tenant
registry_versions,created_by,users,id,0..1,0..N,1,SET NULL,registry_versions_created_by_fkey
role_assignments,membership_id+user_id,memberships,membership_id+user_id,0..1,0..N,2,CASCADE,fk_role_assignments_membership
role_assignments,assigned_by_user_id,users,id,1,0..N,1,RESTRICT,role_assignments_assigned_by_user_id_fkey
role_assignments,revoked_by_user_id,users,id,0..1,0..N,1,SET NULL,role_assignments_revoked_by_user_id_fkey
role_assignments,role_id,roles,role_id,1,0..N,1,RESTRICT,role_assignments_role_id_fkey
role_assignments,user_id,users,id,1,0..N,1,CASCADE,role_assignments_user_id_fkey
role_permissions,permission_code,permissions,permission_code,1,0..N,1,RESTRICT,fk_role_permissions_permission
role_permissions,role_id,roles,role_id,1,0..N,1,CASCADE,fk_role_permissions_role
roles,created_by_user_id,users,id,0..1,0..N,1,SET NULL,fk_roles_creator
roles,tenant_id,tenants,tenant_id,0..1,0..N,1,CASCADE,fk_roles_tenant
samples,capture_session_id,capture_sessions,capture_session_id,0..1,0..N,1,SET NULL,fk_samples_capture_session
samples,tenant_id+capture_session_id,capture_sessions,tenant_id+capture_session_id,0..1,0..N,2,SET NULL,fk_samples_capture_session_tenant
samples,tenant_id+class_uid,classes,tenant_id+class_uid,0..1,0..N,2,NO ACTION,fk_samples_class_tenant
samples,language,languages,code,0..1,0..N,1,NO ACTION,fk_samples_language
samples,tenant_id+signer_id,signers,tenant_id+signer_id,0..1,0..N,2,NO ACTION,fk_samples_signer
samples,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_samples_tenant
samples,auth_user_id,users,id,0..1,0..N,1,SET NULL,samples_auth_user_id_fkey
samples,class_uid,classes,class_uid,0..1,0..N,1,NO ACTION,samples_class_uid_fkey
samples,tenant_id+dialect,dialects,tenant_id+dialect_id,0..1,0..N,2,NO ACTION,samples_dialect_fkey
samples,reviewed_by,users,id,0..1,0..N,1,SET NULL,samples_reviewed_by_fkey
signer_aliases,tenant_id+new_signer_id,signers,tenant_id+signer_id,1,0..N,2,NO ACTION,fk_signer_aliases_new
signer_aliases,tenant_id,tenants,tenant_id,1,0..N,1,RESTRICT,fk_signer_aliases_tenant
