table_name,object_name,kind,columns,predicate
api_keys,api_keys_pkey,PRIMARY KEY,key_id,""
api_keys,api_keys_prefix_key,UNIQUE CONSTRAINT,prefix,""
audit_log,audit_log_pkey,PRIMARY KEY,audit_id,""
capture_sessions,capture_sessions_pkey,PRIMARY KEY,capture_session_id,""
capture_sessions,uq_capture_sessions_natural,UNIQUE CONSTRAINT,tenant_id+class_uid+session_id,""
capture_sessions,uq_capture_sessions_tenant,UNIQUE CONSTRAINT,tenant_id+capture_session_id,""
classes,classes_pkey,PRIMARY KEY,class_uid,""
classes,uq_classes_tenant_class_uid,UNIQUE INDEX,tenant_id+class_uid,""
classes,uq_classes_tenant_class_idx,UNIQUE INDEX (MOT PHAN),tenant_id+class_idx,((deleted_at IS NULL) AND (class_idx IS NOT NULL))
classes,uq_classes_tenant_slug_lang_dialect_region,UNIQUE INDEX (MOT PHAN),tenant_id+slug+language+dialect+region,(deleted_at IS NULL)
collection_sessions,collection_sessions_pkey,PRIMARY KEY,collection_session_id,""
collection_sessions,uq_collection_sessions_natural,UNIQUE CONSTRAINT,tenant_id+session_code,""
collection_sessions,uq_collection_sessions_tenant,UNIQUE CONSTRAINT,tenant_id+collection_session_id,""
community_dialects,community_dialects_pkey,PRIMARY KEY,dialect_id,""
community_profiles,community_profiles_pkey,PRIMARY KEY,profile_id,""
community_versions,community_versions_pkey,PRIMARY KEY,version,""
dialect_aliases,dialect_aliases_pkey,PRIMARY KEY,tenant_id+old_dialect_id,""
dialects,dialects_pkey,PRIMARY KEY,tenant_id+dialect_id,""
event_outbox,event_outbox_pkey,PRIMARY KEY,event_id,""
google_sheets_sync_status,google_sheets_sync_status_pkey,PRIMARY KEY,id,""
google_sheets_sync_status,google_sheets_sync_status_table_name_key,UNIQUE CONSTRAINT,table_name,""
languages,languages_pkey,PRIMARY KEY,code,""
legal_document_drafts,legal_document_drafts_pkey,PRIMARY KEY,draft_id,""
legal_document_drafts,uq_legal_draft_open,UNIQUE INDEX (MOT PHAN),kind,"(status = ANY (ARRAY['draft'::text, 'in_review'::text, 'approved'::text]))"
legal_document_events,legal_document_events_pkey,PRIMARY KEY,event_id,""
legal_documents,legal_documents_pkey,PRIMARY KEY,doc_id,""
legal_documents,legal_documents_kind_version_unique,UNIQUE CONSTRAINT,kind+version,""
legal_documents,uq_legal_effective,UNIQUE INDEX,kind+effective_from,""
memberships,memberships_pkey,PRIMARY KEY,membership_id,""
