session_code,capture_session_id,lop,nhan_goc,signer_hien_tai,so_mau,bat_dau,ket_thuc,tai_khoan_thu,so_nguoi_trong_phien,signer_de_xuat,trang_thai,ghi_chu
1777885146491,75e1a154-a920-4ab7-ab04-1f22fd542b87,cam-on,Minh,"",40,2026-05-04 08:59:39,2026-05-04 09:00:20,Minh,2,"",UNRESOLVED,""
1777885146491,6beb6438-0815-4edd-8e11-d51a3017fafa,xin-chao,Trân,"",80,2026-05-04 09:06:27,2026-05-04 09:07:46,Minh,1,"",UNRESOLVED,""
1777885146491,75e1a154-a920-4ab7-ab04-1f22fd542b87,cam-on,Trân,"",40,2026-05-04 09:08:00,2026-05-04 09:08:33,Minh,2,"",UNRESOLVED,""
1777887821857,f4270a17-99dc-4e6f-9351-22269fe43ad0,rang-muoi,Trân,"",80,2026-05-04 09:46:10,2026-05-04 09:47:30,Minh,1,"",UNRESOLVED,""
1777887821857,ae17318d-dbfa-43d9-8ed0-cf117e81e85f,tom,Trân,"",80,2026-05-04 09:47:45,2026-05-04 09:49:13,Minh,1,"",UNRESOLVED,""
1777958720984,35581d4c-248e-4ebe-8c2d-dd467894eb21,xin-chao,Minh,"",80,2026-05-05 06:19:04,2026-05-05 06:20:39,Minh,1,"",UNRESOLVED,""
1777958720984,da664858-5f12-4bdb-a6dd-09e5f00dc4de,cam-on,Minh,"",40,2026-05-05 06:27:50,2026-05-05 06:28:28,Minh,1,"",UNRESOLVED,""
1778723421170,9c169aa1-f950-4438-ac5c-a87668afa217,c,Minh,"",5,2026-05-14 01:50:51,2026-05-14 01:51:34,Minh,1,"",UNRESOLVED,""
1778729678725,34908d49-467a-4fcc-a06b-9d8369ea9d43,a,Minh,"",5,2026-05-14 03:35:13,2026-05-14 03:36:05,Minh,1,"",UNRESOLVED,""
1778754691881,baad90ee-6149-442f-bca9-ba7d456f6eac,cat-ky,Minh,"",1,2026-05-14 10:43:37,2026-05-14 10:43:37,Minh,1,"",UNRESOLVED,""
1778771734988,99517243-0476-4afe-b09a-3293d9c0298e,d,Hoàng Anh,"",5,2026-05-14 15:27:41,2026-05-14 15:28:40,Minh,1,"",UNRESOLVED,""
1778819521896,72f17a0c-dc4a-4c2e-ae0e-5021b35d678a,danh-vay-ca,Minh,"",1,2026-05-15 04:40:53,2026-05-15 04:40:53,Minh,1,"",UNRESOLVED,""
1778821665521,688c6710-f23e-4b0b-b4b8-b917cb55174e,rang-muoi,Minh,"",5,2026-05-15 05:08:30,2026-05-15 05:09:30,Minh,1,"",UNRESOLVED,""
