drive_id,name,mime_type,created_time,modified_time,owner
1jfpnKNKO6OhIWG9yrEHqvhoP1omNQpju,SOT_PYIT_111721_989_miss,application/vnd.google-apps.folder,2026-07-28T11:17:23.540Z,2026-07-28T11:17:23.540Z,minhb2203567@student.ctu.edu.vn
1bx2H6O-gQClxjbQm3X6v50jZx8flu6Jo,SOT_PYIT_113821_8_tamper,application/vnd.google-apps.folder,2026-08-04T11:38:27.788Z,2026-08-04T11:38:27.788Z,minhb2203567@student.ctu.edu.vn
1JZoNFlkwbrucbEtedCNLK7OYKi7kd-8P,SOT_PYIT_115705_355_mv,application/vnd.google-apps.folder,2026-08-04T11:57:13.748Z,2026-08-04T11:57:13.748Z,minhb2203567@student.ctu.edu.vn
1M50gvbMf5ygJz7j6MuN0yTflQOgDD7jC,SOT_PYIT_120843_424_rogue,application/vnd.google-apps.folder,2026-08-04T12:09:57.960Z,2026-08-04T12:09:57.960Z,minhb2203567@student.ctu.edu.vn
1Grbjda-yH2DIqFS0Dzg3OMGjAUEpAvXm,SOT_PYIT_132831_864_partial,application/vnd.google-apps.folder,2026-08-08T13:28:35.208Z,2026-08-08T13:28:35.208Z,minhb2203567@student.ctu.edu.vn
1iguzIfcYKrT7RU2xiXboeQBA5Lq0S8cy,SOT_PYIT_143008_41_idem,application/vnd.google-apps.folder,2026-08-14T14:30:09.650Z,2026-08-14T14:30:09.650Z,minhb2203567@student.ctu.edu.vn
1HCFKUK3U9YIZBE7jwWvp-I4gime9zKqT,SOT_PYIT_163028_792_uni,application/vnd.google-apps.folder,2026-08-09T16:30:31.987Z,2026-08-09T16:30:31.987Z,minhb2203567@student.ctu.edu.vn
1mboBtPM8O33OwTt4H4WJx9cUkCbkCZfT,SOT_PYIT_170555_822_rogue,application/vnd.google-apps.folder,2026-08-16T17:05:58.344Z,2026-08-16T17:05:58.344Z,minhb2203567@student.ctu.edu.vn
1lsncvxvQ4rep_oGa4-2J-9LUD9VOd1hA,SOT_PYIT_171907_413_num,application/vnd.google-apps.folder,2026-08-16T17:19:09.908Z,2026-08-16T17:19:09.908Z,minhb2203567@student.ctu.edu.vn
1gFpsy64giFDrPGJktakSD1s5sPKf_26N,SOT_PYIT_172057_357_num,application/vnd.google-apps.folder,2026-08-07T17:20:58.912Z,2026-08-07T17:20:58.912Z,minhb2203567@student.ctu.edu.vn
19KYpJMaCwqykGFbQQH0mZaS3xlH7meHj,SOT_PYIT_172516_253_partial,application/vnd.google-apps.folder,2026-08-07T17:25:17.814Z,2026-08-07T17:25:17.814Z,minhb2203567@student.ctu.edu.vn
10VJMZSiEO9SnXve0QtOFb6D52ObOzDU9,SOT_PYIT_173109_454_zero,application/vnd.google-apps.folder,2026-08-16T17:31:11.839Z,2026-08-16T17:31:11.839Z,minhb2203567@student.ctu.edu.vn
1Vmu4PrEUp3dUf7t5dkRJKkL8AK-4uNIz,SOT_PYIT_200247_371_upd,application/vnd.google-apps.folder,2026-08-06T20:02:49.476Z,2026-08-06T20:02:49.476Z,minhb2203567@student.ctu.edu.vn
1RdRvydkojCCDKu_Jw493tlCsrb29sDOY,SOT_PYIT_201252_745_upd,application/vnd.google-apps.folder,2026-08-06T20:12:54.776Z,2026-08-06T20:12:54.776Z,minhb2203567@student.ctu.edu.vn
