collection_session_id,tenant_id,session_code,old_collection_signer_id,distinct_capture_signer_ids,distinct_legacy_labels,n_capture,n_samples
66225139-ded8-40f7-aca2-b4dfe78ca6d1,default,1785295268369,,"",Ảnh,30,300
cb87dc01-1509-4ae3-996e-d209450e9137,default,1785339873247,S002,S002,Khoa,28,280
d155976e-b442-40cb-8a5a-b1895a502dce,default,1785305733923,,"",Khoa,22,110
ac0590aa-97de-40b0-afd5-3b4e907fd843,default,1784880062109,S010,S010,Minh,17,124
ede3e715-5882-42d0-807b-19b990be136c,default,1785307975895,S001,S001,Huy,15,300
642de235-1200-466d-9386-e3d054df7f1f,default,1785400340784,,"",Thu Ngân | Trâm,9,45
bd32cb42-57a7-45f7-af28-f663b4f0cf3e,default,1784878878561,S010,S010,Trân,8,55
cfa52a3f-9e72-4ea1-83bb-26720d783dc8,default,1785377506734,S001,S001,Huy,8,80
47779a0e-7cbb-4e6b-b808-537bbb4a85d6,default,1780798904912,,"",Trân,7,35
92428f39-d8f7-445a-9c59-d508c777abc6,default,1784649093899,S010,S010,Khoa,7,31
a4484efa-2d04-46fa-b0f4-ad20e5742859,default,1784796691590,S010,S010,Khoa,7,66
16d258b1-f0ca-4ee1-839c-50366a78b4f2,default,1784800534317,S010,S010,Nhung,7,71
4de4c338-4946-4117-b0d5-d7f3ae2d3618,default,1785155551405,S010,S010,Thư,7,104
08cb6093-45b1-4843-8e88-f2fe4fcbb48d,default,1785157643452,S010,S010,Ảnh,7,105
1cfa173a-dc8d-4897-a4be-988871babe8b,default,1784647261752,S010,S010,Nhung,6,28
a7abb7b1-f101-4d56-a143-be27309b0887,default,1785141487309,S010,S010,Trân,5,75
21436de3-d4b1-4b0e-a337-f06957459a3a,default,1785145227369,S010,S010,Minh,4,60
70c7cc12-cb4e-4fe3-834c-64f4dd89efe2,default,1780290454320,,"",Minh | Trân,3,80
c6e1c62f-38f1-45e2-ba0e-dcb155ed87d2,default,1784796123668,S010,S010,Minh,3,10
ee5e204e-4e57-45b2-a570-44298fa0cc61,default,1785338190799,S001,S001,Huy,3,30
88e437dc-eabb-468e-ab09-3ac3c16c114a,default,1777885146491,,"",Minh | Trân,2,160
91f15ab2-d304-465a-ae2e-6f88ac2f3859,default,1777887821857,,"",Trân,2,160
1eeb9250-7c78-43ed-9079-50c59e4d9f42,default,1777958720984,,"",Minh,2,120
46910209-51f6-4ddc-9208-f6ff0fb1653c,default,1778859392944,,"",Khoa,2,10
ffaf074f-8009-408a-b517-bd205a770ebb,default,1780244780553,,"",Minh | Trân,2,55
f9280e93-106e-4ba1-90a2-32cc63c7d68e,default,1784530308361,S011,S011,Khoa | Minh | Trân,2,55
ccf559b6-0168-4304-ad6d-67838ead26dc,default,1785140943990,S010,S010,Trân,2,30
ce8fd648-a0d8-4a97-b2b2-766351a6ff58,default,1785144187837,S010,S010,Minh,2,30
69b84b0a-c011-4205-a9b5-ec619d21ff74,default,1785338133740,S002,S002,Khoa,2,30
5685480a-33f4-4f46-a8a7-629e7c5ccd13,default,1785339571033,S002,S002,Khang | Khoa,2,15
50461a3d-231c-4e41-b6ed-d6218b10833b,default,1778723421170,,"",Minh,1,5
6962efa5-bde1-4dde-a7a2-340f30533339,default,1778729678725,,"",Minh,1,5
9758150a-928f-476b-9fe7-f0bb86c4eb58,default,1778754691881,,"",Minh,1,1
e488318e-b98b-4f45-84ec-9af8f1e28934,default,1778771734988,,"",Hoàng Anh,1,5
3bb88e60-e242-41e9-bfca-d56b59dff018,default,1778819521896,,"",Minh,1,1
d2cfdef6-da7d-4b41-9549-8cd22e3fd94b,default,1778821665521,,"",Minh,1,5
1fa3f79a-bb0b-48c0-9d01-0543a7501a43,default,1778839519873,,"",Minh,1,2
d4b6f811-074a-4167-bf06-016cc40fb635,default,1779200202506,,"",Minh,1,8
75475669-aaba-46d5-965f-ab6c9ebaa743,default,1779246569493,,"",Minh,1,5
50cd3fdc-c76e-4c9f-b928-d75c8cf30f89,default,1779297738264,,"",Minh,1,5
9bee54aa-3fd6-4270-8974-256d0fd67918,default,1780244022241,,"",Minh | Trân,1,25
05644aea-e05b-42b4-a0a3-bb25153d3efe,default,1780802531552,,"",Trân,1,5
0c4d01bf-029a-4345-9ed5-edc487cf4f65,default,1783494491576,,"",Trân,1,3
b55dd35d-d139-4604-9875-6612eca74227,default,1784478484729,S010,S010,Trân,1,5
abda7e6f-ba49-4ce2-a1f9-0f714fd3ec91,default,1784535342816,,"",Trân,1,8
2f03633b-e3de-4ada-b2cb-c825edecae2d,default,1784535923584,,"",Khoa | Minh | Trân,1,15
11ea1f7c-23a5-4e9d-92eb-468f0b3acf27,default,1784795315718,S010,S010,Trân,1,5
fd1e31fa-e7f3-4135-9637-650bb4c65749,default,1785135788989,S010,S010,Trân,1,15
43650fa7-f90b-44a6-96ba-bc44aacf02a2,default,1785138680626,S010,S010,Minh,1,15
35b80361-0640-45c8-9ace-c043b5deb196,default,1785144699971,S010,S010,Minh,1,15
bbc8c7df-ed4c-46d4-862e-a1dca4bcbbf0,default,1785240933228,,"",Minh,1,5
68f7d889-35e0-4014-93fe-e2fbef40d6d9,default,1785307237079,S001,S001,Huy,1,20
1ecdb156-8de8-49eb-8d1f-7490bb4cee89,default,1785337612041,S002,S002,Khoa,1,10
ef947d8a-feb2-4295-beee-ba9e09767dfd,default,1785338600057,S002,S002,Khoa,1,10
31c587ee-592d-4291-b5df-87b9f81f4e12,default,1785402117148,,"",Trâm,1,5
4709d202-bdbb-4ac8-971c-e30595399844,default,1785402824308,,"",Thu Ngân,1,1
e7dd23dd-db31-4e4c-9e7d-9e859f086eb0,default,1785402916070,,"",Thu Ngân,1,5
a71b8e99-469f-41b2-936f-4113771f5d38,default,1787102076263,S001,S001,Minh,1,2
296bcc1c-95b6-4fdd-b640-431a715b2592,default,1787383622276,S103,S103,Minh,1,1
7a37ac46-2203-4cb1-b0fc-8f8b894624dc,default,1787386215744,S104,S104,Minh,1,1
