sample_id,file_path,file_checksum,label_key,semantic_label,vocabulary_scope,recognition_profile,vocabulary_group,collection_campaign,motion_type,signer_id,session_id,source_type,raw_landmarks_available,normalization_version,quality_status,class_uid,slug,label_original,language,dialect,folder_name,file,class_idx,label_slug
07b0f2bef4,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_07b0f2bef4.npz,9eb6477112fd7e9c090585f6c0439f3e9be53aaa492e1d4e431cdef5d78d2631,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_07b0f2bef4.npz,1,a
09297ea8d9,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_09297ea8d9.npz,8667472f6758cae5c1312799321d5bb913690c7d0907603b391bf375ca00ecdb,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_09297ea8d9.npz,1,a
0efc95eee0,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_0efc95eee0.npz,7fba23fe465d2884792948dd1d4d1d40fbacf367e581472475935a9fdedbfbfb,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_0efc95eee0.npz,1,a
0fda9b6e61,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_0fda9b6e61.npz,7e6fbfdc17bf260c9cc83ec1af61f94e9cf30ced430dd069a9d11964c6e94010,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_0fda9b6e61.npz,1,a
1047a2e131,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_1047a2e131.npz,8a3d384a5de3bd5c37545947006401f8ac6d395f22e1e312519eeda15be88411,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_1047a2e131.npz,1,a
141c0d0658,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_141c0d0658.npz,35f9fcc0ac3882867da517903a8dd1f3a46ab13c7fecdb78b14d95770a005a41,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_141c0d0658.npz,1,a
1526af78c0,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_1526af78c0.npz,0e6b668e476456c583dd378724d9989fa6879156637488abd0aaec30faf69e3b,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_1526af78c0.npz,1,a
1cdc9d48e2,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_1cdc9d48e2.npz,ca2325c7b7828d222f2074e9908036cb42b4b92ac0bbbe598e3de75507174f5f,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_1cdc9d48e2.npz,1,a
28d74d5102,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_28d74d5102.npz,11ae18a0521255e597c4c22081cbfdd86f462fef82ffd2ab66f828471310585f,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_28d74d5102.npz,1,a
29ea65d188,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_29ea65d188.npz,f40b3511495ba240765f26153994def885ca67b79e832d5fbc5cf6e031944cbb,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_29ea65d188.npz,1,a
2be34bc8ec,dataset/features/vn/bang-chu-cai/class_a_49ab9b7a/sample_2be34bc8ec.npz,37628e32c177664adfad86e88cbc7a9a8af3993e0d3e7dd3c3373a87daad2e1b,vn/alphabet/a,a,profile_specific,alphabet,fingerspelling_alphabet,legacy_2026,static,S017,,camera,1,hands126_v1,unknown,49ab9b7a-4a36-41ca-acea-92da53adc53c,a,A,vn,bang-chu-cai,class_a_49ab9b7a,sample_2be34bc8ec.npz,1,a
