sample_uid,class_uid,slug,label_original,language,dialect,source_type,user_id,session_id,fps_original,fps_processed,seq_len,augment_id,completeness,file_path,storage_key,storage_url,checksum,created_at,sample_id,class_idx,folder_name,file,label_slug,label_key
5fb0873cf1,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,trân,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_5fb0873cf1.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_5fb0873cf1.npz,https://drive.google.com/file/d/1-GVEgg5JiyzLvXwKQYiEDPLSkHqK5C9f/view,,2026-06-07T04:38:08.985183Z,5fb0873cf1,33,class_nhan-vien_2cb0694b,sample_5fb0873cf1.npz,nhan-vien,vn/can-tho/nhan-vien
35ceccce65,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,trân,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_35ceccce65.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_35ceccce65.npz,https://drive.google.com/file/d/1wyy9_O4gvnlk2xUQ7vTliDh98edqgUVr/view,,2026-06-07T04:37:59.011876Z,35ceccce65,33,class_nhan-vien_2cb0694b,sample_35ceccce65.npz,nhan-vien,vn/can-tho/nhan-vien
61605ebe7e,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,trân,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_61605ebe7e.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_61605ebe7e.npz,https://drive.google.com/file/d/1iW2-g3ccLxqIA-aV6qHjHD98H490aSep/view,,2026-06-07T04:39:08.308468Z,61605ebe7e,33,class_nhan-vien_2cb0694b,sample_61605ebe7e.npz,nhan-vien,vn/can-tho/nhan-vien
ba8fe9f890,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,trân,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_ba8fe9f890.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_ba8fe9f890.npz,https://drive.google.com/file/d/1xFPtWF-Fi0YuvIF9usToY_2sVgNk_Vwh/view,,2026-06-07T04:39:45.544836Z,ba8fe9f890,33,class_nhan-vien_2cb0694b,sample_ba8fe9f890.npz,nhan-vien,vn/can-tho/nhan-vien
d97bf5d527,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,trân,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_d97bf5d527.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_d97bf5d527.npz,https://drive.google.com/file/d/1RLBrxImlZB3q5podIvmX-NIV9LCmynw-/view,,2026-06-07T04:38:21.118953Z,d97bf5d527,33,class_nhan-vien_2cb0694b,sample_d97bf5d527.npz,nhan-vien,vn/can-tho/nhan-vien
9b6e51cab4,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,trân,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_9b6e51cab4.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_9b6e51cab4.npz,https://drive.google.com/file/d/19_yIYIwRf5RJMsLXmqiyYxlA1GB_ZJxQ/view,,2026-06-07T04:38:33.854692Z,9b6e51cab4,33,class_nhan-vien_2cb0694b,sample_9b6e51cab4.npz,nhan-vien,vn/can-tho/nhan-vien
3a1428a88e,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,minh,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_3a1428a88e.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_3a1428a88e.npz,https://drive.google.com/file/d/1V94bEscAXcdR_dsJSMpw9CId7LEn-c9B/view,,2026-06-07T04:43:42.411592Z,3a1428a88e,33,class_nhan-vien_2cb0694b,sample_3a1428a88e.npz,nhan-vien,vn/can-tho/nhan-vien
cfe96d6060,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,minh,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_cfe96d6060.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_cfe96d6060.npz,https://drive.google.com/file/d/121aktBkVMrKp3FqjeQhykYAPXvJc-Guo/view,,2026-06-07T04:44:38.140255Z,cfe96d6060,33,class_nhan-vien_2cb0694b,sample_cfe96d6060.npz,nhan-vien,vn/can-tho/nhan-vien
a90fc554a3,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,minh,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_a90fc554a3.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_a90fc554a3.npz,https://drive.google.com/file/d/11CbkhfRWsSELE46OwLmXi4LidIkp0uig/view,,2026-06-07T04:50:03.987652Z,a90fc554a3,33,class_nhan-vien_2cb0694b,sample_a90fc554a3.npz,nhan-vien,vn/can-tho/nhan-vien
753e9ab804,2cb0694b-df4b-4b29-ac1c-b53889394ad0,nhan-vien,nhân viên,vn,can-tho,camera,minh,1780807042223,,,60,0,None,/dataset/features/vn/can-tho/class_nhan-vien_2cb0694b/sample_753e9ab804.npz,features/vn/can-tho/class_nhan-vien_2cb0694b/sample_753e9ab804.npz,https://drive.google.com/file/d/1NUYp8Th85CnYdPXPFR4WN4o50EJT3spr/view,,2026-06-07T04:41:41.039852Z,753e9ab804,33,class_nhan-vien_2cb0694b,sample_753e9ab804.npz,nhan-vien,vn/can-tho/nhan-vien
