sample_uid,class_uid,slug,label_original,language,dialect,source_type,user,session_id,fps_original,fps_processed,seq_len,augment_id,completeness,file_path,storage_key,storage_url,checksum,created_at,sample_id,class_idx,folder_name,file,label_slug,label_key
c17892c1f9,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1FTYbrFqOdkP6Rs-nf1h2q4EX25wH_ub3/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_c17892c1f9.npz,https://drive.google.com/file/d/1FTYbrFqOdkP6Rs-nf1h2q4EX25wH_ub3/view,,2026-05-14T09:46:18.008324Z,c17892c1f9,3,class_rang-muoi_9257a41e,sample_c17892c1f9.npz,rang-muoi,vn/hoa-de/rang-muoi
b223867856,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1mb34hNCrUVsCDmRjDiBdT8hYv9hbmv-Z/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_b223867856.npz,https://drive.google.com/file/d/1mb34hNCrUVsCDmRjDiBdT8hYv9hbmv-Z/view,,2026-05-14T09:48:44.120583Z,b223867856,3,class_rang-muoi_9257a41e,sample_b223867856.npz,rang-muoi,vn/hoa-de/rang-muoi
91599a21ff,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/13dwbRbksCOpeKT18RIU2_C5auxLJVJdJ/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_91599a21ff.npz,https://drive.google.com/file/d/13dwbRbksCOpeKT18RIU2_C5auxLJVJdJ/view,,2026-05-14T09:47:35.250087Z,91599a21ff,3,class_rang-muoi_9257a41e,sample_91599a21ff.npz,rang-muoi,vn/hoa-de/rang-muoi
f2afd6b572,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1-k5habJgwCOK54C88oN3ao7g3ouIzEFj/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_f2afd6b572.npz,https://drive.google.com/file/d/1-k5habJgwCOK54C88oN3ao7g3ouIzEFj/view,,2026-05-14T09:49:16.413810Z,f2afd6b572,3,class_rang-muoi_9257a41e,sample_f2afd6b572.npz,rang-muoi,vn/hoa-de/rang-muoi
da3afbe10f,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1v7KRtT27Vnl47H0UV2lOjFS5ilqX6BXg/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_da3afbe10f.npz,https://drive.google.com/file/d/1v7KRtT27Vnl47H0UV2lOjFS5ilqX6BXg/view,,2026-05-14T09:48:16.677487Z,da3afbe10f,3,class_rang-muoi_9257a41e,sample_da3afbe10f.npz,rang-muoi,vn/hoa-de/rang-muoi
6032e1585f,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1IpX4S-ioiTF2tkw8np7eL51yXphpBxtV/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_6032e1585f.npz,https://drive.google.com/file/d/1IpX4S-ioiTF2tkw8np7eL51yXphpBxtV/view,,2026-05-14T09:46:54.565820Z,6032e1585f,3,class_rang-muoi_9257a41e,sample_6032e1585f.npz,rang-muoi,vn/hoa-de/rang-muoi
4ced4e9342,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1hQSY5o0cMxpdPJqdeQdM3sk6-ZJABDeD/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_4ced4e9342.npz,https://drive.google.com/file/d/1hQSY5o0cMxpdPJqdeQdM3sk6-ZJABDeD/view,,2026-05-14T09:48:30.569879Z,4ced4e9342,3,class_rang-muoi_9257a41e,sample_4ced4e9342.npz,rang-muoi,vn/hoa-de/rang-muoi
a748ecadcc,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1Ez0ENTR8QZsmzJkpoSeLCyoS3ReMZKNW/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_a748ecadcc.npz,https://drive.google.com/file/d/1Ez0ENTR8QZsmzJkpoSeLCyoS3ReMZKNW/view,,2026-05-14T09:43:49.010330Z,a748ecadcc,3,class_rang-muoi_9257a41e,sample_a748ecadcc.npz,rang-muoi,vn/hoa-de/rang-muoi
bdf719b647,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1NcoCzkBiSs4aPu3sWCQU0nVExAkKgOZT/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_bdf719b647.npz,https://drive.google.com/file/d/1NcoCzkBiSs4aPu3sWCQU0nVExAkKgOZT/view,,2026-05-14T09:45:50.719697Z,bdf719b647,3,class_rang-muoi_9257a41e,sample_bdf719b647.npz,rang-muoi,vn/hoa-de/rang-muoi
eea7c08ecd,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1c19vzu815aWq2Mrq08ddgk_lAfOGDk-d/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_eea7c08ecd.npz,https://drive.google.com/file/d/1c19vzu815aWq2Mrq08ddgk_lAfOGDk-d/view,,2026-05-14T09:46:03.963864Z,eea7c08ecd,3,class_rang-muoi_9257a41e,sample_eea7c08ecd.npz,rang-muoi,vn/hoa-de/rang-muoi
a9262deac1,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1LoIFVcgzDC6B8vIjYsfYBpLG0mez3TIq/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_a9262deac1.npz,https://drive.google.com/file/d/1LoIFVcgzDC6B8vIjYsfYBpLG0mez3TIq/view,,2026-05-14T09:43:35.919931Z,a9262deac1,3,class_rang-muoi_9257a41e,sample_a9262deac1.npz,rang-muoi,vn/hoa-de/rang-muoi
d29c689cc1,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1YCCpcxGnrh5XIOvfFY3uRlyICQ_G3BdU/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_d29c689cc1.npz,https://drive.google.com/file/d/1YCCpcxGnrh5XIOvfFY3uRlyICQ_G3BdU/view,,2026-05-14T09:48:57.615792Z,d29c689cc1,3,class_rang-muoi_9257a41e,sample_d29c689cc1.npz,rang-muoi,vn/hoa-de/rang-muoi
1aaa1d7240,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1V3o_GJDbUEO-hr-muZMRdTblTN5-BPQU/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_1aaa1d7240.npz,https://drive.google.com/file/d/1V3o_GJDbUEO-hr-muZMRdTblTN5-BPQU/view,,2026-05-14T09:53:07.053296Z,1aaa1d7240,3,class_rang-muoi_9257a41e,sample_1aaa1d7240.npz,rang-muoi,vn/hoa-de/rang-muoi
b5e088a156,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/15B-0Pf8LukeNDCTI3VKqJADVytSotXTG/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_b5e088a156.npz,https://drive.google.com/file/d/15B-0Pf8LukeNDCTI3VKqJADVytSotXTG/view,,2026-05-14T09:44:16.077439Z,b5e088a156,3,class_rang-muoi_9257a41e,sample_b5e088a156.npz,rang-muoi,vn/hoa-de/rang-muoi
eeeadb4be6,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1if5NkkP5JaHUnAVhjd8QCBhrvPXyzzo0/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_eeeadb4be6.npz,https://drive.google.com/file/d/1if5NkkP5JaHUnAVhjd8QCBhrvPXyzzo0/view,,2026-05-14T09:48:02.880299Z,eeeadb4be6,3,class_rang-muoi_9257a41e,sample_eeeadb4be6.npz,rang-muoi,vn/hoa-de/rang-muoi
b45614ef10,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1XGwNRuZ8da2oXP961V6sPGj3XYQzoJEz/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_b45614ef10.npz,https://drive.google.com/file/d/1XGwNRuZ8da2oXP961V6sPGj3XYQzoJEz/view,,2026-05-14T09:44:02.712592Z,b45614ef10,3,class_rang-muoi_9257a41e,sample_b45614ef10.npz,rang-muoi,vn/hoa-de/rang-muoi
242c7add65,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1mr6G9pLbZ30eMX5u81Wu-GvzyqN4QbJp/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_242c7add65.npz,https://drive.google.com/file/d/1mr6G9pLbZ30eMX5u81Wu-GvzyqN4QbJp/view,,2026-05-14T09:52:53.382939Z,242c7add65,3,class_rang-muoi_9257a41e,sample_242c7add65.npz,rang-muoi,vn/hoa-de/rang-muoi
c9d2a1a9b5,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1mH_C1uLOEdWJOYzCNFFY7swbZo0vnIf3/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_c9d2a1a9b5.npz,https://drive.google.com/file/d/1mH_C1uLOEdWJOYzCNFFY7swbZo0vnIf3/view,,2026-05-14T09:47:08.107188Z,c9d2a1a9b5,3,class_rang-muoi_9257a41e,sample_c9d2a1a9b5.npz,rang-muoi,vn/hoa-de/rang-muoi
a02e556ded,7246af3c-d9b8-4919-afff-9b21ad3f8d93,tom,tôm,vn,hoa-de,camera,Trân,1778754365813,,,60,0,None,https://drive.google.com/file/d/1VpCm91SE2eNFFnF7Y2eIO2hKGrxXCTlv/view,features/vn/hoa-de/class_tom_7246af3c/sample_a02e556ded.npz,https://drive.google.com/file/d/1VpCm91SE2eNFFnF7Y2eIO2hKGrxXCTlv/view,,2026-05-14T10:27:07.155979Z,a02e556ded,4,class_tom_7246af3c,sample_a02e556ded.npz,tom,vn/hoa-de/tom
865faf6b36,7246af3c-d9b8-4919-afff-9b21ad3f8d93,tom,tôm,vn,hoa-de,camera,Trân,1778754242761,,,60,0,None,https://drive.google.com/file/d/1sIGW5ge_6juLODAHX12wr7b4DOROqZyF/view,features/vn/hoa-de/class_tom_7246af3c/sample_865faf6b36.npz,https://drive.google.com/file/d/1sIGW5ge_6juLODAHX12wr7b4DOROqZyF/view,,2026-05-14T10:25:00.109934Z,865faf6b36,4,class_tom_7246af3c,sample_865faf6b36.npz,tom,vn/hoa-de/tom
