sample_uid,class_uid,slug,label_original,language,dialect,source_type,user_id,session_id,fps_original,fps_processed,seq_len,augment_id,completeness,file_path,storage_key,storage_url,checksum,created_at,sample_id,class_idx,folder_name,file,label_slug,label_key
557a427457,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778821993129,,,60,0,None,https://drive.google.com/file/d/1MnXNl60UkvUt1zE2h1tVl6wxz3-r0Mu7/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_557a427457.npz,https://drive.google.com/file/d/1MnXNl60UkvUt1zE2h1tVl6wxz3-r0Mu7/view,,2026-05-15T05:16:41.713294Z,557a427457,3,class_rang-muoi_9257a41e,sample_557a427457.npz,rang-muoi,vn/hoa-de/rang-muoi
1774476489,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778821993129,,,60,0,None,https://drive.google.com/file/d/1gykVAyOOYZK_h5WCfIbC_utzep9rRztf/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_1774476489.npz,https://drive.google.com/file/d/1gykVAyOOYZK_h5WCfIbC_utzep9rRztf/view,,2026-05-15T05:16:26.960855Z,1774476489,3,class_rang-muoi_9257a41e,sample_1774476489.npz,rang-muoi,vn/hoa-de/rang-muoi
6032e1585f,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1IpX4S-ioiTF2tkw8np7eL51yXphpBxtV/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_6032e1585f.npz,https://drive.google.com/file/d/1IpX4S-ioiTF2tkw8np7eL51yXphpBxtV/view,,2026-05-14T09:46:54.565820Z,6032e1585f,3,class_rang-muoi_9257a41e,sample_6032e1585f.npz,rang-muoi,vn/hoa-de/rang-muoi
eeeadb4be6,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1if5NkkP5JaHUnAVhjd8QCBhrvPXyzzo0/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_eeeadb4be6.npz,https://drive.google.com/file/d/1if5NkkP5JaHUnAVhjd8QCBhrvPXyzzo0/view,,2026-05-14T09:48:02.880299Z,eeeadb4be6,3,class_rang-muoi_9257a41e,sample_eeeadb4be6.npz,rang-muoi,vn/hoa-de/rang-muoi
b223867856,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1mb34hNCrUVsCDmRjDiBdT8hYv9hbmv-Z/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_b223867856.npz,https://drive.google.com/file/d/1mb34hNCrUVsCDmRjDiBdT8hYv9hbmv-Z/view,,2026-05-14T09:48:44.120583Z,b223867856,3,class_rang-muoi_9257a41e,sample_b223867856.npz,rang-muoi,vn/hoa-de/rang-muoi
a9262deac1,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1LoIFVcgzDC6B8vIjYsfYBpLG0mez3TIq/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_a9262deac1.npz,https://drive.google.com/file/d/1LoIFVcgzDC6B8vIjYsfYBpLG0mez3TIq/view,,2026-05-14T09:43:35.919931Z,a9262deac1,3,class_rang-muoi_9257a41e,sample_a9262deac1.npz,rang-muoi,vn/hoa-de/rang-muoi
c9d2a1a9b5,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1mH_C1uLOEdWJOYzCNFFY7swbZo0vnIf3/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_c9d2a1a9b5.npz,https://drive.google.com/file/d/1mH_C1uLOEdWJOYzCNFFY7swbZo0vnIf3/view,,2026-05-14T09:47:08.107188Z,c9d2a1a9b5,3,class_rang-muoi_9257a41e,sample_c9d2a1a9b5.npz,rang-muoi,vn/hoa-de/rang-muoi
617e383b40,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778821993129,,,60,0,None,https://drive.google.com/file/d/1mQvaLU1TqhuHYqUD_8KG-QRtfopdJMNH/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_617e383b40.npz,https://drive.google.com/file/d/1mQvaLU1TqhuHYqUD_8KG-QRtfopdJMNH/view,,2026-05-15T05:14:38.397876Z,617e383b40,3,class_rang-muoi_9257a41e,sample_617e383b40.npz,rang-muoi,vn/hoa-de/rang-muoi
1aaa1d7240,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1V3o_GJDbUEO-hr-muZMRdTblTN5-BPQU/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_1aaa1d7240.npz,https://drive.google.com/file/d/1V3o_GJDbUEO-hr-muZMRdTblTN5-BPQU/view,,2026-05-14T09:53:07.053296Z,1aaa1d7240,3,class_rang-muoi_9257a41e,sample_1aaa1d7240.npz,rang-muoi,vn/hoa-de/rang-muoi
da3afbe10f,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778751697482,,,60,0,None,https://drive.google.com/file/d/1v7KRtT27Vnl47H0UV2lOjFS5ilqX6BXg/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_da3afbe10f.npz,https://drive.google.com/file/d/1v7KRtT27Vnl47H0UV2lOjFS5ilqX6BXg/view,,2026-05-14T09:48:16.677487Z,da3afbe10f,3,class_rang-muoi_9257a41e,sample_da3afbe10f.npz,rang-muoi,vn/hoa-de/rang-muoi
a24b014eb1,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Minh,1778821993129,,,60,0,None,https://drive.google.com/file/d/1V2Ou2vv69RWM7lo2Ph5xeGVniIAe-Zt2/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_a24b014eb1.npz,https://drive.google.com/file/d/1V2Ou2vv69RWM7lo2Ph5xeGVniIAe-Zt2/view,,2026-05-15T05:15:43.730226Z,a24b014eb1,3,class_rang-muoi_9257a41e,sample_a24b014eb1.npz,rang-muoi,vn/hoa-de/rang-muoi
bdf719b647,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1NcoCzkBiSs4aPu3sWCQU0nVExAkKgOZT/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_bdf719b647.npz,https://drive.google.com/file/d/1NcoCzkBiSs4aPu3sWCQU0nVExAkKgOZT/view,,2026-05-14T09:45:50.719697Z,bdf719b647,3,class_rang-muoi_9257a41e,sample_bdf719b647.npz,rang-muoi,vn/hoa-de/rang-muoi
a748ecadcc,9257a41e-3b25-41c7-8992-0f14c3872e96,rang-muoi,rang muối,vn,hoa-de,camera,Trân,1778751697482,,,60,0,None,https://drive.google.com/file/d/1Ez0ENTR8QZsmzJkpoSeLCyoS3ReMZKNW/view,features/vn/hoa-de/class_rang-muoi_9257a41e/sample_a748ecadcc.npz,https://drive.google.com/file/d/1Ez0ENTR8QZsmzJkpoSeLCyoS3ReMZKNW/view,,2026-05-14T09:43:49.010330Z,a748ecadcc,3,class_rang-muoi_9257a41e,sample_a748ecadcc.npz,rang-muoi,vn/hoa-de/rang-muoi
